,PrivCo_ID,profile_type,classification,status,PE_Backed,VC_Backed,year_founded,City,State,Country,Zip,Industry_PICS,Keywords,sic,naics,Company_Tags,fiscal_month,fiscal_day,Total_Round,index_total_funding,Latest_Valuation,Latest_Valuation_Year,1 Year Revenue Growth,3 Year Revenue Growth,1 Year Employee Growth,3 Year Employee Growth,2024 Revenue,2023 Revenue,2022 Revenue,2021 Revenue,2020 Revenue,2019 Revenue,2018 Revenue,2017 Revenue,2024 Employees,2023 Employees,2022 Employees,2021 Employees,2020 Employees,2019 Employees,2018 Employees,2017 Employees,2023 EBITDA,2022 EBITDA,2021 EBITDA,2020 EBITDA,2019 EBITDA,2018 EBITDA,2017 EBITDA,2023 EV,2022 EV,2021 EV,2020 EV,2019 EV,2018 EV,2017 EV,2023 Net Income,2022 Net Income,2021 Net Income,2020 Net Income,2019 Net Income,2018 Net Income,2017 Net Income
1538,1893680,Company,Private,Active,No,No,2019,Fort Lauderdale,FL,US,,Advertising & Marketing,Advertising|Digital Marketing|Local Business|Marketing|Social Media,,,,12,31,0,,1750000,2023,,,,,,1500000,,,,,,,,6,,,,,,,155000,,,,,,,1750000,,,,,,,110000,,,,,,
1539,1893701,Company,Private,Active,No,Yes,2018,Arlington,TX,US,76010,Software & Internet Services,Artificial Intelligence|Automation|E-Commerce|Logistics|Robotics|Supply Chain Management,,,VC Backed,12,31,1,2000000,6000000,2022,14.2857,,,,,2400000,2100000,1750000,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
1540,1893957,Company,Private,Active,No,No,2018,Seattle,WA,US,98104,Software & Internet Services,Apps|Mobile|Software|Web Design & Development,,,,12,31,0,,26000000,2023,-70.3846,,-71.4286,,,3850000,13000000,,,,,,,18,63,,,,,,945000,3550000,,,,,,26000000,80000000,,,,,,660000,2500000,,,,,
1541,1893990,Company,Private,Active,No,No,2017,Falls Church,VA,US,22046,Renewable Electricity & Fuels,Energy|Power Grid,,,,12,31,0,,9650000,2023,0,,0,,,1650000,1650000,,,,,,,6,6,,,,,,725000,805000,,,,,,9650000,8750000,,,,,,510000,565000,,,,,
1542,1894031,Company,Private,Active,No,No,2019,San Francisco,CA,US,,Human Resources & Employment Services,,,,,12,31,0,,2200000,2023,,,,,,1600000,,,,,,,,6,,,,,,,135000,,,,,,,2200000,,,,,,,95000,,,,,,
1543,1894065,Company,Private,Active,No,No,2018,Redwood City,CA,US,,Software & Internet Services,Blockchain|Cryptocurrency|Women-Founded|Women-led,,,,12,31,0,,9450000,2023,,,,,,1400000,,,,,,,,6,,,,,,,345000,,,,,,,9450000,,,,,,,240000,,,,,,
1544,1894077,Company,Private,Active,No,Yes,2019,Mountain View,CA,US,94043,Software & Internet Services,Artificial Intelligence|Construction|Platform|Software Development,,,VC Backed,12,31,1,14000000,40000000,2021,13.6364,,8.5714,,,10000000,8800000,7700000,,,,,,,38,35,,,,,,,,,,,,,,,,,,,,,,,,,
1545,1894311,Company,Private,Active,No,No,2017,Washington,DC,US,,Entertainment,Fitness|Hospitality|Recreation|Restaurant|Retail|Sports|Technology|Women-Founded|Women-led,,,,12,31,0,,6400000,2023,,,,,,2050000,,,,,,,,6,,,,,,,200000,,,,,,,6400000,,,,,,,140000,,,,,,
1546,1894366,Company,Private,Active,No,No,2018,Raleigh,NC,US,27606,Technology Services,Blockchain|Business-to-Consumer|Last Mile Transportation|Same Day Delivery,,,,12,31,0,,21500000,2023,,,,,,4000000,,,,,,,,18,,,,,,,930000,,,,,,,21500000,,,,,,,650000,,,,,,
1547,1894408,Company,Private,Active,No,No,2019,Springfield,NJ,US,,Logistics Services,Logistics|Software|Warehousing,,,,12,31,0,,2000000,2023,,,,,,1200000,,,,,,,,5,,,,,,,115000,,,,,,,2000000,,,,,,,82000,,,,,,
1548,1894412,Company,Private,Active,No,No,2019,Redondo Beach,CA,US,,Freight Transportation,Apps|Computer Vision|Government|GovTech|Latinx-founded|Latinx-Led|Minority-led|Mobile|Technology|Technology Hardware|Transportation,,,,12,31,0,,1900000,2023,22.2222,,20,,,2750000,2250000,,,,,,,12,10,,,,,,81000,73500,,,,,,1900000,1400000,,,,,,56500,51500,,,,,
1549,1894436,Company,Private,Active,No,No,2018,Los Angeles,CA,US,,Software & Internet Services,Apps|Community|Mobile|Social Network|Software,,,,12,31,0,,5150000,2023,,,,,,760000,,,,,,,,4,,,,,,,185000,,,,,,,5150000,,,,,,,130000,,,,,,
1550,1894450,Company,Private,Active,No,Yes,2019,Olathe,KS,US,66062,Biotechnology,Biopharmaceuticals|Biotechnology|Drug Research|Health Care|Medical|Research & Development|Therapeutics|Women-Founded|Women-led,,,VC Backed,12,31,2,3390000,10000000,2023,13.7931,,16.6667,,,1650000,1450000,1200000,,,,,,,7,6,,,,,,,205000,,,,,,,2300000,,,,,,,-7500,,,,
1551,1894476,Company,Private,Active,No,No,2018,Cincinnati,OH,US,,Specialized Consumer Services,,,,,12,31,0,,1500000,2023,,,,,,975000,,,,,,,,6,,,,,,,100000,,,,,,,1500000,,,,,,,71000,,,,,,
1552,1894620,Company,Private,Active,No,No,2017,California,KY,US,,Specialized Consumer Services,Information Technology,,,,12,31,0,,1500000,2023,,,,,,975000,,,,,,,,6,,,,,,,100000,,,,,,,1500000,,,,,,,71000,,,,,,
1553,1894632,Company,Private,Active,No,No,2017,Northridge,CA,US,,Technology Services,Information|Information Technology|Internet|Manufacturing|Software,,,,12,31,0,,7250000,2023,,,,,,1350000,,,,,,,,6,,,,,,,315000,,,,,,,7250000,,,,,,,220000,,,,,,
1554,1894670,Company,Private,Active,No,No,2017,Santa Clara,CA,US,,Technology Services,Finance|Fintech|Information Technology,,,,12,31,0,,9100000,2023,,,,,,1700000,,,,,,,,6,,,,,,,395000,,,,,,,9100000,,,,,,,275000,,,,,,
