,Data Export - All Companies with Recorded Fundraising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Additions,,,,,,,,,,,,,,,,CrunchBase Funding Rounds by Quarter,,,,,,CrunchBase Funding Total by Quarter,,,,,,Top Investors by Rounds 2014 YTD,,,Top Regions by Rounds 2014 YTD,,,Top Regions by Investment 2014 YTD,,,Top Categories by Rounds 2014 YTD,,,Top Categories by Investment 2014 YTD,,,Top Countries by Rounds 2014 YTD,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year_str,(Multiple Items),,,,,,,,,,,,,,,funded_year,(Multiple Items),,,,,funded_year,(Multiple Items),,,,,funded_year,2014,,funded_year,2014,,funded_year,2014,,funded_year,2014,,funded_year,2014,,funded_year,2014,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,funding_round_type,(All),,funding_round_type,(Multiple Items),,funding_round_type,(Multiple Items),,funding_round_type,(Multiple Items),,funding_round_type,(Multiple Items),,funding_round_type,(Multiple Items),,
Sum of value,Column Labels,,,,,,,,,,,,,,,Count of funded_at,Column Labels,,,,,Sum of raised_amount_usd,Column Labels,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,,,Row Labels,angel,venture,seed,private_equity,,Row Labels,angel,venture,seed,private_equity,,Count of funded_at,,,Count of funded_at,,,Sum of raised_amount_usd,,,Count of funded_at,,,Sum of raised_amount_usd,,,Count of funded_at,,,
2011-Q4," 1,368 "," 12,729 "," 24,273 "," 196,417 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q1," 1,468 "," 13,096 "," 25,741 "," 209,513 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q2," 1,749 "," 16,310 "," 27,490 "," 225,823 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q3," 1,637 "," 17,555 "," 29,127 "," 243,378 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q4," 1,366 "," 17,101 "," 30,493 "," 260,479 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q1," 1,838 "," 20,687 "," 32,331 "," 281,166 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q2," 3,840 "," 55,121 "," 36,171 "," 336,287 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q3," 7,615 "," 66,598 "," 43,786 "," 402,885 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q4," 8,071 "," 54,711 "," 51,857 "," 457,596 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q1," 10,517 "," 63,554 "," 62,374 "," 521,150 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2," 7,901 "," 56,785 "," 70,275 "," 577,935 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3," 9,681 "," 57,175 "," 79,956 "," 635,110 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q4," 4,080 "," 37,922 "," 84,036 "," 673,032 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
